ET1,ET2,ET3
5.217213898,5.217213898,5.217213898
4.912954582,4.912954582,4.912954582
5.343594006,5.343594006,5.343594006
5.732219072,5.732219072,5.732219072
5.977878322,5.977878322,5.977878322
5.203016092,5.203016092,5.203016092
4.774818772,4.774818772,4.774818772
3.918506333,3.918506333,3.918506333
4.713684741,4.713684741,4.713684741
5.101329952,5.101329952,5.101329952
5.445517427,5.445517427,5.445517427
5.680362475,5.680362475,5.680362475
5.743480712,5.743480712,5.743480712
5.89400514,5.89400514,5.89400514
5.610942217,5.610942217,5.610942217
6.453839097,6.453839097,6.453839097
5.344032596,5.344032596,5.344032596
5.901715824,5.901715824,5.901715824
5.047659506,5.047659506,5.047659506
5.462154868,5.462154868,5.462154868
5.352950568,5.352950568,5.352950568
4.329082061,4.329082061,4.329082061
4.627265142,4.627265142,4.627265142
5.512493927,5.512493927,5.512493927
5.373638833,5.373638833,5.373638833
4.848397447,4.848397447,4.848397447
7.30593971,7.30593971,7.30593971
6.022140103,6.022140103,6.022140103
5.846983343,5.846983343,5.846983343
6.919413754,6.919413754,6.919413754
6.905055146,6.905055146,6.905055146
6.216046163,6.216046163,6.216046163
5.507088525,5.507088525,5.507088525
5.656136292,5.656136292,5.656136292
6.238060903,6.238060903,6.238060903
6.14507314,6.14507314,6.14507314
5.805168367,5.805168367,5.805168367
5.416212646,5.416212646,5.416212646
4.657476296,4.657476296,4.657476296
6.288513262,6.288513262,6.288513262
6.936139371,6.936139371,6.936139371
6.626481504,6.626481504,6.626481504
6.86589119,6.86589119,6.86589119
6.655840243,6.655840243,6.655840243
6.868994582,6.868994582,6.868994582
6.565688634,6.565688634,6.565688634
6.205842956,6.205842956,6.205842956
4.876541296,4.876541296,4.876541296
6.028480551,6.028480551,6.028480551
5.444800612,5.444800612,5.444800612
6.128438301,6.128438301,6.128438301
6.066822796,6.066822796,6.066822796
6.364370549,6.364370549,6.364370549
5.685894304,5.685894304,5.685894304
6.748016106,6.748016106,6.748016106
6.168205909,6.168205909,6.168205909
5.841042639,5.841042639,5.841042639
5.987586154,5.987586154,5.987586154
5.655381379,5.655381379,5.655381379
6.936594972,6.936594972,6.936594972
6.595323918,6.595323918,6.595323918
5.76040312,5.76040312,5.76040312
5.893017183,5.893017183,5.893017183
6.600674584,6.600674584,6.600674584
5.921084913,5.921084913,5.921084913
5.914192326,5.914192326,5.914192326
5.706257054,5.706257054,5.706257054
-0.184211733,-0.184211733,-0.184211733
12.07572363,12.07572363,12.07572363
7.490113563,7.490113563,7.490113563
6.950830499,6.950830499,6.950830499
3.626526099,3.626526099,3.626526099
7.954793731,7.954793731,7.954793731
6.856783215,6.856783215,6.856783215
7.670361691,7.670361691,7.670361691
7.790284455,7.790284455,7.790284455
6.539248416,6.539248416,6.539248416
5.472357097,5.472357097,5.472357097
7.153008825,7.153008825,7.153008825
7.694411957,7.694411957,7.694411957
7.148109474,7.148109474,7.148109474
7.24714689,7.24714689,7.24714689
6.909872668,6.909872668,6.909872668
6.345434485,6.345434485,6.345434485
5.07418735,5.07418735,5.07418735
7.813083961,7.813083961,7.813083961
7.301340479,7.301340479,7.301340479
8.03645853,8.03645853,8.03645853
7.52616018,7.52616018,7.52616018
7.627729737,7.627729737,7.627729737
7.663834233,7.663834233,7.663834233
7.319547138,7.319547138,7.319547138
7.188001404,7.188001404,7.188001404
3.936071043,3.936071043,3.936071043
6.204081172,6.204081172,6.204081172
5.877710516,5.877710516,5.877710516
6.335998617,6.335998617,6.335998617
7.460739133,7.460739133,7.460739133
8.209164231,8.209164231,8.209164231
5.064806077,5.064806077,5.064806077
6.847150821,6.847150821,6.847150821
6.880678194,6.880678194,6.880678194
3.854316715,3.854316715,3.854316715
7.095634859,7.095634859,7.095634859
7.655764392,7.655764392,7.655764392
6.151920894,6.151920894,6.151920894
6.234389949,6.234389949,6.234389949
5.283410536,5.283410536,5.283410536
4.24850884,4.24850884,4.24850884
5.503045407,5.503045407,5.503045407
6.884653009,6.884653009,6.884653009
1.821981503,1.821981503,1.821981503
6.602055284,6.602055284,6.602055284
5.033564,5.033564,5.033564
5.658930097,5.658930097,5.658930097
5.073165683,5.073165683,5.073165683
5.083630173,5.083630173,5.083630173
6.853841085,6.853841085,6.853841085
6.687373256,6.687373256,6.687373256
7.70858462,7.70858462,7.70858462
6.065198663,6.065198663,6.065198663
6.40580403,6.40580403,6.40580403
7.577870325,7.577870325,7.577870325
6.259559783,6.259559783,6.259559783
7.413490725,7.413490725,7.413490725
7.807308414,7.807308414,7.807308414
6.991728417,6.991728417,6.991728417
6.136272688,6.136272688,6.136272688
5.776201834,5.776201834,5.776201834
7.160471082,7.160471082,7.160471082
7.532848815,7.532848815,7.532848815
6.046393991,6.046393991,6.046393991
6.580423272,6.580423272,6.580423272
7.100683275,7.100683275,7.100683275
4.653347717,4.653347717,4.653347717
6.644361352,6.644361352,6.644361352
6.554642761,6.554642761,6.554642761
6.193002268,6.193002268,6.193002268
6.263885573,6.263885573,6.263885573
6.542137123,6.542137123,6.542137123
6.667141489,6.667141489,6.667141489
6.590555641,6.590555641,6.590555641
6.699137741,6.699137741,6.699137741
7.248225942,7.248225942,7.248225942
6.897878417,6.897878417,6.897878417
6.240945225,6.240945225,6.240945225
4.224423231,4.224423231,4.224423231
4.951297736,4.951297736,4.951297736
4.73555204,4.73555204,4.73555204
5.363463326,5.363463326,5.363463326
5.375648637,5.375648637,5.375648637
6.725234175,6.725234175,6.725234175
5.795298331,5.795298331,5.795298331
6.685647687,6.685647687,6.685647687
5.694173344,5.694173344,5.694173344
2.366418849,2.366418849,2.366418849
5.357593617,5.357593617,5.357593617
5.565106381,5.565106381,5.565106381
5.632557644,5.632557644,5.632557644
4.771825661,4.771825661,4.771825661
